Workload,CPU_Load,Clock_Speed,Peak_RAM,Battery_Consumption
UW_Moderate,46.76,1893,5555.39,0.4
ECM_16,68.75,1893,6722.21,0
ECM_24,57.47,1893,6562.11,0
ECM_32,59.63,1893,6332.72,0
ECM_40,65.83,1893,6592.33,0
ECM_48,50.72,1893,6594.84,0
ECM_56,49.06,1893,6552.16,1
ECM_64,60.05,1893,6590.74,0
ECM_72,68.09,1893,6551.66,0
ECM_80,56.82,1893,6519.73,0
ECM_88,79.62,1893,6919.54,0
ECM_96,63.33,1893,6374.15,1
ECM_104,51.14,1893,6718.43,1
ECM_112,49.67,1893,6213.74,0
ECM_120,52.79,1893,6195.41,1
ECM_128,52.36,1893,5650.36,2
ECM_136,42.49,1893,5609.7,4
ECM_144,63.56,1893,5616.3,6
ECM_152,74.22,1893,6538.35,7
ECM_160,83.17,1893,5348,7
ECM_168,86.82,1893,7046.51,9
ECM_176,94.79,1893,5494.82,11
ECM_180,88.91,1893,6121.27,9
