Workload,CPU_Load,Clock_Speed,Peak_RAM,Battery_Consumption
UW_Moderate,76.09,2483,6354.59,0
ECM_16,75.00,2483,5490.23,0
ECM_24,48.50,2483,3948.61,0
ECM_32,47.90,2483,3679.30,0
ECM_40,48.15,2483,3657.54,0
ECM_48,49.30,2483,3437.69,0
ECM_56,54.90,2483,3521.21,0
ECM_64,54.95,2483,3536.34,0
ECM_72,73.46,2483,3897.11,0
ECM_80,63.78,2483,3518.57,0
ECM_88,80.25,2483,3639.36,0
ECM_96,76.32,2483,3610.05,0
ECM_104,63.96,2483,3573.86,1
ECM_112,42.42,2483,3443.10,0
ECM_120,80.43,2483,3495.37,0
ECM_128,61.50,2483,3710.52,2
ECM_136,66.81,2483,3708.46,4
ECM_144,48.40,2483,3471.42,6
ECM_152,74.47,2483,3580.47,9
ECM_160,80.36,2483,3639.22,10
ECM_168,91.04,2483,3613.69,10
ECM_176,99.04,1893,4109.95,12
ECM_180,87.59,2483,3355.32,10
