Workload,CPU_Load,Clock_Speed,Peak_RAM,Battery_Consumption,Normalized_CPU_Load,Normalized_Peak_RAM,Normalized_Clock_Speed,Normalized_Battery_Consumption
UW_Moderate,46.76,1893,5555.39,0.4,0.08164435946462707,0.1221011357012913,0,0.03636363636363637
ECM_16,68.75,1893,6722.21,0.0,0.5021032504780114,0.8090679477895331,0,0.0
ECM_24,57.47,1893,6562.11,0.0,0.28642447418738043,0.7148088618848282,0,0.0
ECM_32,59.63,1893,6332.72,0.0,0.32772466539196937,0.5797551972022538,0,0.0
ECM_40,65.83,1893,6592.33,0.0,0.4462715105162523,0.7326009266945733,0,0.0
ECM_48,50.72,1893,6594.84,0.0,0.1573613766730401,0.7340786925010745,0,0.0
ECM_56,49.06,1893,6552.16,1.0,0.12562141491395792,0.7089507862773842,0,0.09090909090909091
ECM_64,60.05,1893,6590.74,0.0,0.3357552581261949,0.7316648121000169,0,0.0
ECM_72,68.09,1893,6551.66,0.0,0.4894837476099426,0.7086564106187185,0,0.0
ECM_80,56.82,1893,6519.73,0.0,0.27399617590822173,0.6898575810563373,0,0.0
ECM_88,79.62,1893,6919.54,0.0,0.709942638623327,0.9252462452384735,0,0.0
ECM_96,63.33,1893,6374.15,1.0,0.3984703632887188,0.6041471642792798,0,0.09090909090909091
ECM_104,51.14,1893,6718.43,1.0,0.16539196940726572,0.8068424678100218,0,0.09090909090909091
ECM_112,49.67,1893,6213.74,0.0,0.13728489483747608,0.5097055654662025,0,0.0
ECM_120,52.79,1893,6195.41,1.0,0.19694072657743777,0.498913753819524,0,0.09090909090909091
ECM_128,52.36,1893,5650.36,2.0,0.18871892925430203,0.17801484830822287,0,0.18181818181818182
ECM_136,42.49,1893,5609.7,4.0,0.0,0.15407621974554156,0,0.36363636363636365
ECM_144,63.56,1893,5616.3,6.0,0.402868068833652,0.15796197843992685,0,0.5454545454545454
ECM_152,74.22,1893,6538.35,7.0,0.6066921606118546,0.7008201305850423,0,0.6363636363636364
ECM_160,83.17,1893,5348.0,7.0,0.7778202676864244,0.0,0,0.6363636363636364
ECM_168,86.82,1893,7046.51,9.0,0.8476099426386231,1.0,0,0.8181818181818182
ECM_176,94.79,1893,5494.82,11.0,1.0,0.08644046841054788,0,1.0
ECM_180,88.91,1893,6121.27,9.0,0.8875717017208411,0.45526373115259866,0,0.8181818181818182
