Workload,CPU_Load,Clock_Speed,Peak_RAM,Battery_Consumption,Normalized_CPU_Load,Normalized_Peak_RAM,Normalized_Clock_Speed,Normalized_Battery_Consumption
UW_Heavy,95.88,1893,6260.06,1,1.0,1.0,0.0,0.1111111111111111
QS_16,0.0,1893,5163.24,0,0.0,0.3024637183449711,0.0,0.0
QS_24,73.31,1893,5244.47,0,0.7646015853149771,0.3541229442515358,0.0,0.0
QS_32,68.94,1893,5271.66,0,0.7190237797246558,0.37141476195927264,0.0,0.0
QS_40,73.05,1893,5343.16,0,0.7618898623279099,0.4168860736953228,0.0,0.0
QS_48,71.48,1893,5266.46,0,0.7455152273675428,0.3681077574693782,0.0,0.0
QS_56,68.91,1893,5254.59,0,0.7187108886107635,0.360558883758792,0.0,0.0
QS_64,36.25,1893,5259.77,1,0.3780767626199416,0.36385316900064874,0.0,0.1111111111111111
QS_72,30.54,1893,5262.26,1,0.31852315394242803,0.36543671538138656,0.0,0.1111111111111111
QS_80,60.07,1893,5167.93,1,0.6265123070504798,0.30544638200989555,0.0,0.1111111111111111
QS_88,27.31,1893,5223.46,4,0.2848352106800167,0.3407613741875578,0.0,0.4444444444444444
QS_94,23.78,2100,4687.64,9,0.2480183562786817,0.0,1.0,1.0
