UW_Target,Comparison_Group,AW_Candidate,Euclidean_Distance
UW_Heavy,QS (Heavy),QS_16,1.2242967545646233
UW_Heavy,QS (Heavy),QS_24,0.6963585741490317
UW_Heavy,QS (Heavy),QS_32,0.6974329479278151
UW_Heavy,QS (Heavy),QS_40,0.6395810876855442
UW_Heavy,QS (Heavy),QS_48,0.6902144483307469
UW_Heavy,QS (Heavy),QS_56,0.7073571829975955
UW_Heavy,QS (Heavy),QS_64,0.889646729766265
UW_Heavy,QS (Heavy),QS_72,0.931171978690585
UW_Heavy,QS (Heavy),QS_80,0.788604961338628
UW_Heavy,QS (Heavy),QS_88,1.028186438714927
UW_Heavy,QS (Heavy),QS_94,1.8318296452683418
