Workload,CPU_Load,Clock_Speed,Peak_RAM,Battery_Consumption
UW_Light,29.88,1893,5541.07,0
UW_Moderate,46.76,1893,5555.39,0.4
UW_Heavy,95.88,1893,6260.06,1
PR_16,0,1893,6556.16,0
PR_24,0,1893,6477.15,0
PR_32,0,1813,6526.44,0
PR_40,0,1813,6536.17,0
PR_48,0,1893,6416.36,0
PR_56,0,1893,6392.81,0
PR_64,0,1813,6413.37,0
PR_72,52.8,1813,5965.88,0
PR_80,30.2,1893,6015.74,0
PR_88,37.08,1893,6076.54,0
PR_96,30.53,1893,6048.02,0
PR_104,20.49,1893,5962.07,1
PR_111,13.35,1893,4950.16,0
ECM_16,68.75,1893,6722.21,0
ECM_24,57.47,1893,6562.11,0
ECM_32,59.63,1893,6332.72,0
ECM_40,65.83,1893,6592.33,0
ECM_48,50.72,1893,6594.84,0
ECM_56,49.06,1893,6552.16,1
ECM_64,60.05,1893,6590.74,0
ECM_72,68.09,1893,6551.66,0
ECM_80,56.82,1893,6519.73,0
ECM_88,79.62,1893,6919.54,0
ECM_96,63.33,1893,6374.15,1
ECM_104,51.14,1893,6718.43,1
ECM_112,49.67,1893,6213.74,0
ECM_120,52.79,1893,6195.41,1
ECM_128,52.36,1893,5650.36,2
ECM_136,42.49,1893,5609.7,4
ECM_144,63.56,1893,5616.3,6
ECM_152,74.22,1893,6538.35,7
ECM_160,83.17,1893,5348,7
ECM_168,86.82,1893,7046.51,9
ECM_176,94.79,1893,5494.82,11
ECM_180,88.91,1893,6121.27,9
QS_16,0,1893,5163.24,0
QS_24,73.31,1893,5244.47,0
QS_32,68.94,1893,5271.66,0
QS_40,73.05,1893,5343.16,0
QS_48,71.48,1893,5266.46,0
QS_56,68.91,1893,5254.59,0
QS_64,36.25,1893,5259.77,1
QS_72,30.54,1893,5262.26,1
QS_80,60.07,1893,5167.93,1
QS_88,27.31,1893,5223.46,4
QS_94,23.78,2100,4687.64,9
,,,,
,,,,
