Workload,CPU_Load,Peak_RAM,Clock_Speed,Battery_Consumption,Normalized_CPU_Load,Normalized_Peak_RAM,Normalized_Clock_Speed,Normalized_Battery_Consumption
UW_Light,29.88,1893.0,5541.07,1.0,0.311639549436796,0.2787456445993031,0.5942837795897635,0.0856898029134533
UW_Moderate,46.67,1893.0,5555.39,0.4,0.48675427617855654,0.2787456445993031,0.6023643596760997,0.03427592116538132
UW_Heavy,95.88,1893.0,6260.06,1.0,1.0,0.2787456445993031,1.0,0.0856898029134533
PR_64,0.0,1813.0,4487.91,0.0,0.0,0.0,0.0,0.0
PR_72,11.67,1866.33,4537.7,0.0,0.12171464330413016,0.1858188153310102,0.02809581581694549,0.0
PR_80,18.73,1893.0,4537.88,0.0,0.19534835210680018,0.2787456445993031,0.02819738735434373,0.0
PR_96,14.17,1893.0,4593.14,0.0,0.14778890279516063,0.2787456445993031,0.05937984933555311,0.0
PR_104,14.38,1893.0,6180.38,1.33,0.1499791405924072,0.2787456445993031,0.955037666111785,0.1139674378748929
PR_111,13.31,2031.0,5886.0033,4.67,0.13881935753024616,0.759581881533101,0.7889249217052733,0.4001713796058269
ECM_64,46.65,1893.0,5330.91,0.0,0.4865456821026283,0.2787456445993031,0.47569336681432145,0.0
ECM_72,52.2,1893.0,5262.15,0.0,0.5444305381727159,0.2787456445993031,0.43689303952825637,0.0
ECM_80,40.95,1893.0,5277.65,0.33,0.4270963704630789,0.2787456445993031,0.44563947747086846,0.02827763496143959
ECM_88,58.63,1893.0,5159.67,0.0,0.6114935335836463,0.2787456445993031,0.3790649775696188,0.0
ECM_112,45.08,1893.0,5011.85,0.33,0.47017104714226116,0.2787456445993031,0.29565217391304366,0.02827763496143959
ECM_120,40.57,1893.0,4812.35,2.0,0.4231330830204422,0.2787456445993031,0.18307705329684304,0.1713796058269066
ECM_128,43.63,1893.0,4625.84,2.33,0.45504797663746355,0.2787456445993031,0.0778320119628701,0.1996572407883462
ECM_136,39.44,1962.0,4497.39,3.67,0.41134751773049644,0.519163763066202,0.00534943430296559,0.3144815766923736
ECM_176,93.58,2031.0,5107.35,11.67,0.976011681268252,0.759581881533101,0.34954151736591166,1.0
ECM_180,93.07,2031.0,4724.56,8.67,0.9706925323320817,0.759581881533101,0.133538357362526,0.7429305912596401
QS_48,60.62,1893.0,5986.56,0.0,0.6322486441385065,0.2787456445993031,0.8456676917868127,0.0
QS_56,53.2,1893.0,5534.91,0.33,0.5548602419691281,0.2787456445993031,0.590807775865474,0.02827763496143959
QS_64,32.2,1893.0,5227.01,0.33,0.3358364622444723,0.2787456445993031,0.4170640182828768,0.02827763496143959
QS_72,25.22,1893.0,5035.27,0.67,0.26303712974551524,0.2787456445993031,0.3088677595011711,0.05741216795201371
QS_80,25.19,1893.0,4991.74,0.67,0.26272423863162286,0.2787456445993031,0.28430437604040276,0.05741216795201371
QS_88,24.84,2100.0,5231.14,3.33,0.2590738423028786,1.0,0.41939452077984385,0.2853470437017995
QS_94,24.18,2100.0,5064.42,9.33,0.2521902377972466,1.0,0.3253167056964704,0.7994858611825193
